category,method,path,controller,action,status,new_backend_equiv_or_note
6-ADMIN-OPS,GET,/hallProductList,productManagement,hallProductListPage,TODO,
6-ADMIN-OPS,GET,/getHallsandProducts,productManagement,getHallsandProducts,NOT-NEEDED,Shop/product mgmt out of scope for bingo MVP
6-ADMIN-OPS,GET,/getHallWithProduct/:id,productManagement,getHallWithProduct,NOT-NEEDED,Shop/product mgmt out of scope for bingo MVP
6-ADMIN-OPS,POST,/addProductinHall,productManagement,updateProductinHall,NOT-NEEDED,Shop/product — out of scope
5-WALLET,GET,/wallet,WalletController,walletView,NOT-NEEDED,HTML index page
5-WALLET,GET,/getWallet,WalletController,getWallet,EXISTS,/api/admin/wallets/... covers
5-WALLET,GET,/viewWallet/:id,WalletController,viewUserWallet,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,GET,/leaderboard,leaderboardController,leaderboardView,NOT-NEEDED,HTML index page
2-PLAYER,GET,/leaderboard/getLeaderboard,leaderboardController,getLeaderboard,EXISTS,/api/leaderboard covers view; admin CRUD missing
2-PLAYER,GET,/addLeaderboard,leaderboardController,addLeaderboard,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,POST,/addLeaderboard,leaderboardController,addLeaderboardPostData,MANGLER,Leaderboard admin CRUD missing
2-PLAYER,GET,/leaderboardEdit/:id,leaderboardController,editLeaderboard,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,POST,/leaderboardEdit/:id,leaderboardController,editLeaderboardPostData,MANGLER,Leaderboard admin CRUD missing
2-PLAYER,POST,/leaderboard/getLeaderboardDelete,leaderboardController,getLeaderboardDelete,MANGLER,Leaderboard admin CRUD missing
5-WALLET,GET,/voucher,VoucherController,voucherView,NOT-NEEDED,HTML index page
5-WALLET,GET,/voucher/getVoucher,VoucherController,getVoucher,MANGLER,Voucher admin missing
5-WALLET,GET,/addVoucher,VoucherController,addVoucher,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,POST,/addVoucher,VoucherController,addVoucherPostData,MANGLER,Voucher admin missing
5-WALLET,GET,/voucherEdit/:id,VoucherController,editVoucher,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,POST,/voucherEdit/:id,VoucherController,editVoucherPostData,MANGLER,Voucher admin missing
5-WALLET,POST,/voucher/getVoucherDelete,VoucherController,getVoucherDelete,MANGLER,Voucher admin missing
5-WALLET,GET,/viewVoucher/:id,VoucherController,viewVoucher,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,GET,/withdrawAmt,WithdrawController,withdrawAmt,TODO,
5-WALLET,GET,/withdrawAmount/getAllTXN,WithdrawController,getAllTXN,MANGLER,Withdraw request queue/history endpoints missing
5-WALLET,POST,/withdrawAmount/chipsAction,WithdrawController,chipsAction,MANGLER,Withdraw request approve/reject queue missing (PILOT-CRITICAL)
5-WALLET,POST,/withdrawAmount/getPlayerDelete,WithdrawController,getDelete,MANGLER,Withdraw admin action missing
5-WALLET,GET,/withdrawAmtHistory,WithdrawController,withdrawAmtHistory,TODO,
5-WALLET,GET,/withdrawAmtHistory/getAllTXNHistory,WithdrawController,getAllTXNHistory,MANGLER,Withdraw request queue/history endpoints missing
5-WALLET,GET,/withdraw/requests/hall,WithdrawController,withdrawRequestInHall,TODO,
5-WALLET,GET,/withdraw/requests/bank,WithdrawController,withdrawRequestInBank,TODO,
5-WALLET,GET,/withdraw/requests/hall/get,WithdrawController,getWithdrawRequest,MANGLER,Withdraw request queue/history endpoints missing
5-WALLET,POST,/withdraw/requests/accept,WithdrawController,acceptWithdrawRequest,MANGLER,Withdraw request approve/reject queue missing (PILOT-CRITICAL)
5-WALLET,POST,/withdraw/requests/reject,WithdrawController,rejectWithdrawRequest,MANGLER,Withdraw request approve/reject queue missing (PILOT-CRITICAL)
5-WALLET,GET,/withdraw/history/hall,WithdrawController,withdrawHistoryHall,TODO,
5-WALLET,GET,/withdraw/history/hall/get,WithdrawController,getWithdrawHistoryHall,MANGLER,Withdraw request queue/history endpoints missing
5-WALLET,GET,/withdraw/history/bank,WithdrawController,withdrawHistoryBank,TODO,
5-WALLET,GET,/withdraw/history/bank/get,WithdrawController,getWithdrawHistoryBank,MANGLER,Withdraw request queue/history endpoints missing
5-WALLET,GET,/withdraw/list/emails,WithdrawController,withdrawEmails,TODO,
5-WALLET,GET,/withdraw/add/emails,WithdrawController,addWithdrawEmails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,POST,/withdraw/add/emails,WithdrawController,addWithdrawEmailsPost,MANGLER,Withdraw email allowlist missing
5-WALLET,GET,/withdraw/get/emails,WithdrawController,getwithdrawEmails,MANGLER,Withdraw request queue/history endpoints missing
5-WALLET,GET,/withdraw/edit/emails/:id,WithdrawController,editWithdrawEmails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,POST,/withdraw/edit/emails/:id,WithdrawController,editWithdrawEmailsPost,MANGLER,Withdraw email allowlist missing
5-WALLET,POST,/withdraw/delete/emails/,WithdrawController,deleteWithdrawEmails,MANGLER,Withdraw email allowlist missing
5-WALLET,POST,/withdraw/email/checkUnique/:emailId?,WithdrawController,checkForUniqueEmailId,MANGLER,Withdraw email allowlist missing
1-AUTH,GET,/role,rollController,view,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,GET,/role/getRole,rollController,getRole,MANGLER,Role CRUD missing — partial via /api/admin/users/:id/role
1-AUTH,GET,/add,rollController,add,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/saveRole,rollController,save,MANGLER,Role CRUD missing — permissions model uses fixed roles in new backend
1-AUTH,GET,/edit/:id,rollController,edit,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/updateRole/:id,rollController,update,MANGLER,Role CRUD missing — permissions model uses fixed roles in new backend
1-AUTH,GET,/delete/:id,rollController,delete,TODO,
2-PLAYER,GET,/player,PlayerController,player,NOT-NEEDED,HTML index page
2-PLAYER,GET,/player/getPlayer,PlayerController,getPlayer,MANGLER,Player admin data endpoint missing
2-PLAYER,GET,/viewPlayer/:id,PlayerController,viewPlayerDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,GET,/playerEdit/:id/,PlayerController,editPlayer,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,POST,/playerEdit/:id,PlayerController,editPlayerPostData,MANGLER,Admin edit player profile missing
2-PLAYER,POST,/changePwd/:id,PlayerController,changePwd,MANGLER,Admin change player password missing
2-PLAYER,POST,/player/hallStatus,PlayerController,hallStatus,MANGLER,Player per-hall status toggle missing
2-PLAYER,POST,/player/getPlayerDelete,PlayerController,getPlayerDelete,MANGLER,Player activate/soft-delete missing
2-PLAYER,POST,/player/playerSoftDelete,PlayerController,playerSoftDelete,MANGLER,Player activate/soft-delete missing
2-PLAYER,POST,/player/active,PlayerController,active,MANGLER,Player activate/soft-delete missing
2-PLAYER,GET,/playerGameManagementDetailList/:id,PlayerController,viwePlayerGameManagementDetail,TODO,
2-PLAYER,GET,/playerGetGameManagementDetailList,PlayerController,playerGetGameManagementDetailList,MANGLER,Player admin data endpoint missing
5-WALLET,GET,/playerTransactions/:id,transactionController,playerTransactions,TODO,
5-WALLET,GET,/getPlayerTransactions,transactionController,getPlayerTransactions,MANGLER,Transaction history endpoints missing
5-WALLET,GET,/playerGameHistory/:id,transactionController,playerGameHistory,TODO,
5-WALLET,GET,/getPlayerGameHistory,transactionController,getPlayerGameHistory,MANGLER,Transaction history endpoints missing
2-PLAYER,POST,/player/block-rules/delete,PlayerController,deleteBlockRule,MANGLER,Player block rules missing
2-PLAYER,GET,/pendingRequests,PlayerController,pendingRequests,TODO,
2-PLAYER,GET,/pendingRequests/getPendingPlayer,PlayerController,getPendingPlayer,MANGLER,Player pending/rejected queue missing in new admin
2-PLAYER,GET,/pendingRequests/viewPendingPlayer/:id,PlayerController,viewPendingRequestDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,POST,/pendingRequests/approvePendingPlayer,PlayerController,approvePendingRequest,MANGLER,Pending-registration approval flow missing
2-PLAYER,POST,/pendingRequests/rejectPendingPlayer,PlayerController,rejectPendingRequest,MANGLER,Pending-registration approval flow missing
2-PLAYER,POST,/pendingRequests/forwardRequest,PlayerController,forwardToAdmin,MANGLER,Pending-registration approval flow missing
2-PLAYER,GET,/rejectedRequests,PlayerController,rejectedRequests,TODO,
2-PLAYER,GET,/player/getRejected,PlayerController,getRejectedPlayer,MANGLER,Player pending/rejected queue missing in new admin
2-PLAYER,GET,/viewRejectedPlayer/:id,PlayerController,viewRejectedPlayerDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
2-PLAYER,POST,/player/deleteRejected,PlayerController,deleteRejected,MANGLER,Pending-registration approval flow missing
2-PLAYER,POST,/player/approveRejected,PlayerController,approveRejected,MANGLER,Pending-registration approval flow missing
2-PLAYER,GET,/player/getGroupHalls,PlayerController,getGroupHalls,MANGLER,Player admin data endpoint missing
2-PLAYER,GET,/player/getHalls,PlayerController,getHalls,MANGLER,Player admin data endpoint missing
2-PLAYER,GET,/player/getAgents,PlayerController,getAgents,MANGLER,Player admin data endpoint missing
2-PLAYER,POST,/player/import,PlayerController,importPlayers,MANGLER,Bulk player import missing (needed for pilot migration)
2-PLAYER,POST,/player/import/confirm,PlayerController,confirmImportPlayers,MANGLER,Bulk player import missing (needed for pilot migration)
6-ADMIN-OPS,POST,/settings/add,SettingsController,settingsAdd,EXISTS,/api/admin/settings/* partial
6-ADMIN-OPS,GET,/settings,SettingsController,settings,NOT-NEEDED,HTML index page
6-ADMIN-OPS,POST,/settings/update,SettingsController,settingsUpdate,EXISTS,/api/admin/settings/* partial
6-ADMIN-OPS,GET,/maintenance,SettingsController,maintenance,TODO,
6-ADMIN-OPS,GET,/maintenance/edit/:id,SettingsController,editMaintenance,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
6-ADMIN-OPS,POST,/maintenance/edit/:id,SettingsController,updateMaintenance,MANGLER,Maintenance mode + restart missing
6-ADMIN-OPS,POST,/maintenance/restartServer,SettingsController,restartServer,MANGLER,Maintenance mode + restart missing
6-ADMIN-OPS,POST,/settings/addScreenSaverData,SettingsController,addScreenSaverData,MANGLER,Screen saver config missing
6-ADMIN-OPS,GET,/system/systemInformation,SettingsController,systemInformation,TODO,
6-ADMIN-OPS,POST,/system/editSystemInformation,SettingsController,editSystemInformation,MANGLER,System info edit missing
6-ADMIN-OPS,POST,/maintenance/DailyReports,SettingsController,DailyReports,EXISTS,/api/admin/reports/daily/run
6-ADMIN-OPS,POST,/maintenance/DailyReportsWithMaintenance,SettingsController,DailyReportsWithMaintanace,EXISTS,/api/admin/reports/daily/run
6-ADMIN-OPS,GET,/blockedIp,SecurityController,blockedIp,TODO,
6-ADMIN-OPS,GET,/blockedIp/getBlockedIp,SecurityController,getBlockedIp,TODO,
6-ADMIN-OPS,GET,/blockedIp/add,SecurityController,addblockedIp,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
6-ADMIN-OPS,POST,/blockedIp/add,SecurityController,addblockedIpPostData,MANGLER,Blocked-IP admin missing
6-ADMIN-OPS,POST,/blockedIp/delete,SecurityController,deleteBlockedIp,MANGLER,Blocked-IP admin missing
6-ADMIN-OPS,GET,/blockedIp/edit/:id/,SecurityController,editBlockedIp,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
6-ADMIN-OPS,POST,/blockedIp/edit/:id,SecurityController,editBlockedIpPostData,MANGLER,Blocked-IP admin missing
3-GAMEPLAY,GET,/physical/csvImport,GameController,csvImport,TODO,
2-PLAYER,POST,/player/reverify-bankid,PlayerController,reverifyBankid,MANGLER,BankID reverify missing
5-WALLET,GET,/physicalTicketManagement,UniqueIdController,physicalTicketManagement,TODO,
5-WALLET,GET,/physical/ticketList,UniqueIdController,getPhysicalTicketList,MANGLER,Unique-ID management missing
3-GAMEPLAY,POST,/gameMenu/getGameMenu,GameController,viweGameMenu,TODO,Review game action
3-GAMEPLAY,GET,/gameDetailList/:id,GameController,viweGameDetail,TODO,
3-GAMEPLAY,GET,/getGameDetailList,GameController,getGameDetailList,TODO,
3-GAMEPLAY,GET,/addGame/:id,GameController,addGame,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/addGame/:typeId/:type/:slug,GameController,addGamePostData,MANGLER,Game admin CRUD missing
3-GAMEPLAY,GET,/gameEdit/:typeId/:id,GameController,editGame,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
3-GAMEPLAY,POST,/gameEdit/:typeId/:id,GameController,editGamePostData,MANGLER,Game admin CRUD missing
3-GAMEPLAY,POST,/getGameDelete,GameController,getGameDelete,TODO,Review game action
3-GAMEPLAY,GET,/viewGame/:typeId/:id,GameController,viewGameDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,GET,/agentRole,rollController,agentRole,TODO,
1-AUTH,POST,/role/getAgentRole,rollController,getAgentRole,MANGLER,Role CRUD missing — permissions model uses fixed roles in new backend
1-AUTH,GET,/role/agentRoleAdd,rollController,agentRoleAdd,TODO,
1-AUTH,POST,/role/saveAgentRole,rollController,saveAgentRole,MANGLER,Role CRUD missing — permissions model uses fixed roles in new backend
1-AUTH,GET,/role/editAgentRole/:id,rollController,editAgentRole,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
1-AUTH,POST,/role/updateAgentRole/:id,rollController,updateAgentRole,MANGLER,Role CRUD missing — permissions model uses fixed roles in new backend
1-AUTH,GET,/agentRole/delete/:id,rollController,agentRoleDelete,TODO,
2-PLAYER,GET,/player/transactions/:id,PlayerController,playerTransactionsClient,TODO,
2-PLAYER,GET,/player/depositMoney,PlayerController,depositMoneyClient,TODO,
6-ADMIN-OPS,POST,/popup_modal,Dashboard,allModal,MANGLER,Dashboard action missing
5-WALLET,POST,/generateTicket,UniqueIdController,generateTicket,MANGLER,Unique-ID admin missing
5-WALLET,POST,/generateEditTicket,UniqueIdController,generateEditTicket,MANGLER,Unique-ID admin missing
5-WALLET,GET,/uniqueId,UniqueIdController,uniqueId,NOT-NEEDED,HTML index page
5-WALLET,POST,/addUniqueId,UniqueIdController,addUniqueId,MANGLER,Unique-ID admin missing
5-WALLET,GET,/uniqueIdList,UniqueIdController,uniqueIdList,MANGLER,Unique-ID management missing
5-WALLET,GET,/unique/getUniqueId,UniqueIdController,getUniqueList,MANGLER,Unique-ID management missing
5-WALLET,GET,/viewUniqueDetails/:id,UniqueIdController,viewUniqueDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,GET,/unique/viewSpaceficTicketDetails,UniqueIdController,viewSpaceficTicketDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,POST,/unique/depositWithdraw,UniqueIdController,depositWithdraw,AGENT-DOMENE,BIN-583 (agent unique-id terminal)
5-WALLET,POST,/checkUniqueId,UniqueIdController,checkUniqueId,MANGLER,Unique-ID admin missing
5-WALLET,POST,/unique/withdrawAccess,UniqueIdController,withdrawAccess,AGENT-DOMENE,BIN-583 (agent unique-id terminal)
1-AUTH,POST,/validateGameView,Auth,validateGameView,EXISTS,Likely covered by ext-wallet auth
5-WALLET,GET,/unique/transactions/:id,UniqueIdController,transactions,TODO,
5-WALLET,GET,/unique/get/transactions/,UniqueIdController,getTransactions,MANGLER,Unique-ID management missing
4-HALL,GET,/schedules,scheduleController,schedules,TODO,
4-HALL,GET,/getSchedules,scheduleController,getSchedules,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,GET,/createSchedule,scheduleController,createSchedule,TODO,
4-HALL,POST,/createSchedule,scheduleController,createSchedulePostData,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
4-HALL,GET,/editSchedule/:id,scheduleController,editSchedule,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/editSchedule/:id,scheduleController,editSchedulePostData,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
4-HALL,POST,/deleteSchedule,scheduleController,deleteSchedule,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
4-HALL,GET,/viewSchedule/:id,scheduleController,viewSchedule,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/api/saveSubGame,scheduleController,saveSubGame,MANGLER,Stored subgame in schedule missing
4-HALL,GET,/schedules/getStoredSubGame,scheduleController,getStoredSubGame,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,GET,/schedules/getStoredSubGameData,scheduleController,getStoredSubGameData,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,GET,/schedules/getStoredSubGames,scheduleController,getStoredSubGames,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,POST,/api/saveSubGames,scheduleController,saveSubGames,MANGLER,Stored subgame in schedule missing
4-HALL,GET,/schedules/checkStoreSubGameName,scheduleController,checkStoreSubGameName,TODO,
4-HALL,GET,/createDailySchedule/:id,scheduleController,createDailySchedule,TODO,
4-HALL,POST,/createDailySchedule,scheduleController,createDailySchedulePostData,MANGLER,Daily/special schedule admin partial
4-HALL,GET,/schedule/getAvailableGroupHalls/:type,scheduleController,getAvailableGroupHalls,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,GET,/editDailySchedule/:id,scheduleController,editDailySchedule,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/editDailySchedule/:id,scheduleController,editDailySchedulePostData,MANGLER,Daily/special schedule admin partial
4-HALL,GET,/viewDailySchedule/:id,scheduleController,viewDailySchedule,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/deleteDailySchedule,scheduleController,deleteDailySchedule,MANGLER,Daily/special schedule admin partial
4-HALL,POST,/saveDailySchedule,scheduleController,saveDailySchedulePostData,MANGLER,Daily/special schedule admin partial
4-HALL,GET,/schedule/getHalls,scheduleController,getScheduleHalls,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,GET,/createSpecialSchedule/:id,scheduleController,createSpecailSchedule,TODO,
4-HALL,POST,/createDailySpecialSchedule,scheduleController,createDailySpecialSchedulePostData,MANGLER,Daily/special schedule admin partial
4-HALL,POST,/schedule/getMasterHallData,scheduleController,getMasterHallData,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
4-HALL,GET,/viewSavedDailySchedule/:id,scheduleController,viewSavedDailySchedule,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,GET,/editSavedDailySchedule/:id,scheduleController,editSavedDailySchedule,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/deleteSavedDailySchedule,scheduleController,deleteSavedDailySchedule,MANGLER,Daily/special schedule admin partial
4-HALL,GET,/viewDailySchduleDetails/:id,scheduleController,viewDailySchduleDetails,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,GET,/getCurrentSubgames/:id,scheduleController,getCurrentSubgames,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,GET,/edit-subgame/:id,scheduleController,editSubgame,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/edit-subgame/:id,scheduleController,editSubgamePostData,MANGLER,Stored subgame in schedule missing
4-HALL,GET,/view-subgame/:id,scheduleController,viewSubgame,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,GET,/getGameAgents,scheduleController,getGameAgents,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,POST,/agentReady,scheduleController,agentReady,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
4-HALL,POST,/startManualGame,scheduleController,startManualGame,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
4-HALL,POST,/stopGame1,scheduleController,stopGame1,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
4-HALL,GET,/viewGameHistory/:id/,scheduleController,viewGameHistory,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,GET,/viewPhysicalGameHistory/:id/,scheduleController,viewPhysicalGameHistory,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
4-HALL,POST,/addManualWinning/,scheduleController,addWinningManual,EXISTS,Base schedule covered by /api/admin/halls/:id/schedule
2-PLAYER,POST,/player/register,PlayerController,registerPlayer,MANGLER,Player admin action missing
4-HALL,GET,/schedule/getAvailableGroupHallsBasedSlots/:type,scheduleController,getAvailableGroupHallsBasedSlots,EXISTS,/api/admin/halls/:id/schedule covers base
4-HALL,GET,/schedule/getSchedulesBySlot,scheduleController,getSchedulesBySlot,EXISTS,/api/admin/halls/:id/schedule covers base
5-WALLET,GET,/addPhysicalTickets,physicalTicketsController,addPhysicalTickets,NOT-NEEDED,HTML render (legacy admin UI) — replaced by React admin
5-WALLET,POST,/addPhysicalTickets,physicalTicketsController,addPhysicalTicketsPost,MANGLER,Physical ticket admin missing
5-WALLET,GET,/getPhysicalTickets,physicalTicketsController,getPhysicalTickets,MANGLER,Physical ticket inventory/sales missing
5-WALLET,POST,/deletePhysicalTicket,physicalTicketsController,deletePhysicalTicket,MANGLER,Physical ticket admin missing
5-WALLET,GET,/getLastRegisteredId,physicalTicketsController,getLastRegisteredId,MANGLER,Physical ticket inventory/sales missing
5-WALLET,GET,/getEditRegisteredId,physicalTicketsController,getEditRegisteredId,MANGLER,Physical ticket inventory/sales missing
5-WALLET,POST,/editPhysicalTickets,physicalTicketsController,editPhysicalTicketsPost,MANGLER,Physical ticket admin missing
5-WALLET,POST,/addGamePhysicalTickets,physicalTicketsController,addGamePhysicalTicketsPost,MANGLER,Physical ticket admin missing
5-WALLET,GET,/getSellPhysicalTickets/:gameId,physicalTicketsController,getSellPhysicalTickets,MANGLER,Physical ticket inventory/sales missing
5-WALLET,POST,/deleteSellPhysicalTicket,physicalTicketsController,deleteSellPhysicalTicket,MANGLER,Physical ticket admin missing
5-WALLET,POST,/deleteAllSellPhysicalTicket,physicalTicketsController,deleteAllSellPhysicalTicket,MANGLER,Physical ticket admin missing
5-WALLET,GET,/hall/getAgent,physicalTicketsController,getHallAgents,MANGLER,Physical ticket inventory/sales missing
5-WALLET,POST,/purchasePhysicalTickets,physicalTicketsController,purchasePhysicalTickets,MANGLER,Physical ticket admin missing
3-GAMEPLAY,GET,/colorDraft,otherGameController,colorDraft,TODO,
3-GAMEPLAY,POST,/colorDraftEdit,otherGameController,editColordraftPostData,MANGLER,"Minigame config missing (WoF, Treasure, Mystery, ColorDraft)"
2-PLAYER,GET,/payment/iframe/:checkoutId,PlayerController,verifoneIframe,TODO,
2-PLAYER,GET,/payment/deposit/response,PlayerController,verifonePaymentResponse,TODO,
2-PLAYER,POST,/payment/webhook,PlayerController,notification,MANGLER,Player admin action missing
2-PLAYER,POST,/payment/goback,PlayerController,goBacktoAppFromVerifone,MANGLER,Player admin action missing
2-PLAYER,GET,/payment/iframe/:checkoutId,PlayerController,swedbankpayIframe,TODO,
2-PLAYER,GET,/payment/deposit/response,PlayerController,swedbankpayPaymentResponse,TODO,
2-PLAYER,POST,/payment/webhook,PlayerController,swedbankpayNotification,MANGLER,Player admin action missing
2-PLAYER,POST,/payment/goback,PlayerController,goBacktoAppFromSwedbankpay,MANGLER,Player admin action missing
7-AGENT,POST,/agent/dailybalance/add,agentcashinoutController,addDailyBalance,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/dailybalance/get,agentcashinoutController,getDailyBalance,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/register-user/add,agentcashinoutController,registerUserAddBalanceView,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/register-user/withdraw,agentcashinoutController,registerUserWithdrawBalanceView,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/player/check-validity,agentcashinoutController,checkForValidAgentPlayer,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/register-user/balance/get,agentcashinoutController,getRegisterUserBalance,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/register-user/balance/update,agentcashinoutController,updateRegisterUserBalance,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/player/check-validity-balance,agentcashinoutController,checkForValidAgentBalancePlayer,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/control-daily-balance,agentcashinoutController,controlDailyBalance,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/settlement,agentcashinoutController,settlement,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/settlement/get-date,agentcashinoutController,getSettlementDate,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/unique-id/add,agentcashinoutController,uniqueIdAddBalanceView,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/unique-id/withdraw,agentcashinoutController,uniqueIdWithdrawBalanceView,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/unique-id/check-validity,agentcashinoutController,checkForValidUniqueId,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/unique-id/balance/get,agentcashinoutController,getUniqueIdBalance,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/unique-id/balance/update,agentcashinoutController,updateUniqueIdBalance,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/game/status/pause,agentcashinoutController,agentGameStatusForPause,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/game/get-my-group-halls,agentcashinoutController,getAgentsGroupHalls,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/game/stop,agentcashinoutController,agentGameStop,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/game/status/start,agentcashinoutController,agentGameStatusForStart,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/game/start,agentcashinoutController,agentGameStart,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/cashout/view,agentcashinoutController,viewCashoutDetails,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/cashout/get,agentcashinoutController,getPhysicalCashoutDetails,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/wof/reward,agentcashinoutController,wofGameReward,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/game/stop-option,agentcashinoutController,agentGameStopOption,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/sellProduct,agentcashinoutController,productCartPage,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/createCart,agentcashinoutController,createCart,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/productCheckout,agentcashinoutController,productCheckoutPage,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/placeOrder,agentcashinoutController,placeOrder,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/cancelOrder,agentcashinoutController,cancelOrder,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/physicalCashOut,agentcashinoutController,physicalCashOutPage,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/getGamesInHall,agentcashinoutController,getGamesInHall,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/viewWonTickets/:id,agentcashinoutController,viewWonPhysicalTicketPage,AGENT-DOMENE,BIN-583
7-AGENT,GET,/agent/getPhysicalWinningInGame,agentcashinoutController,getPhysicalWinningInGame,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/reward-all,agentcashinoutController,rewardAll,AGENT-DOMENE,BIN-583
7-AGENT,POST,/agent/sellProduct,agentcashinoutController,sellProductAgent,AGENT-DOMENE,BIN-583
7-AGENT,GET,/orderHistory,agentcashinoutController,orderHistoryView,AGENT-DOMENE,BIN-583
7-AGENT,GET,/getOrderHistory,agentcashinoutController,getOrderHistoryData,AGENT-DOMENE,BIN-583
